employee_id,employee_name,age,email,phone,status,department_id,role_id
47,Employee 47,48,employee47@company.com,9838257077,INACTIVE,1,1
48,Employee 48,32,employee48@company.com,9845123453,INACTIVE,1,3
49,Employee 49,46,employee49@company.com,9864417562,INACTIVE,6,1
50,Employee 50,29,employee50@company.com,9872033600,INACTIVE,9,4
51,Employee 51,45,employee51@company.com,9858473723,ACTIVE,9,2
52,Employee 52,49,employee52@company.com,9864717223,INACTIVE,8,3
53,Employee 53,33,employee53@company.com,9884782597,ACTIVE,7,3
54,Employee 54,37,employee54@company.com,9871136843,ACTIVE,9,4
55,Employee 55,40,employee55@company.com,9871062483,INACTIVE,2,2
56,Employee 56,42,employee56@company.com,9826015496,INACTIVE,2,4
57,Employee 57,54,employee57@company.com,9825913167,INACTIVE,7,3
58,Employee 58,50,employee58@company.com,9842065466,ACTIVE,3,4
59,Employee 59,34,employee59@company.com,9882443474,ACTIVE,10,3
60,Employee 60,27,employee60@company.com,9884747307,ACTIVE,8,2
61,Employee 61,45,employee61@company.com,9822036132,ACTIVE,2,1
62,Employee 62,25,employee62@company.com,9861258192,ACTIVE,10,1
63,Employee 63,23,employee63@company.com,9827405337,INACTIVE,2,4
64,Employee 64,53,employee64@company.com,9898961779,INACTIVE,10,2
65,Employee 65,50,employee65@company.com,9823212679,ACTIVE,3,4
66,Employee 66,49,employee66@company.com,9885604517,ACTIVE,3,4
67,Employee 67,48,employee67@company.com,9829827663,ACTIVE,9,1
68,Employee 68,23,employee68@company.com,9810054669,INACTIVE,4,1
69,Employee 69,44,employee69@company.com,9837855048,ACTIVE,1,1
70,Employee 70,25,employee70@company.com,9872382015,INACTIVE,10,1
71,Employee 71,31,employee71@company.com,9846405620,ACTIVE,2,4
72,Employee 72,32,employee72@company.com,9813545627,INACTIVE,1,2
73,Employee 73,41,employee73@company.com,9862427450,ACTIVE,5,1
74,Employee 74,48,employee74@company.com,9881426185,ACTIVE,6,3
75,Employee 75,43,employee75@company.com,9842094433,ACTIVE,6,3
76,Employee 76,49,employee76@company.com,9877034536,INACTIVE,1,3
77,Employee 77,53,employee77@company.com,9857670423,INACTIVE,5,3
78,Employee 78,53,employee78@company.com,9874277615,ACTIVE,4,1
79,Employee 79,25,employee79@company.com,9874864067,ACTIVE,4,1
80,Employee 80,41,employee80@company.com,9892600525,INACTIVE,6,3
81,Employee 81,48,employee81@company.com,9832038659,ACTIVE,1,1
82,Employee 82,31,employee82@company.com,9895840896,INACTIVE,3,4
83,Employee 83,25,employee83@company.com,9825923066,ACTIVE,5,1
84,Employee 84,23,employee84@company.com,9827694473,ACTIVE,4,1
85,Employee 85,40,employee85@company.com,9862770536,ACTIVE,1,3
86,Employee 86,43,employee86@company.com,9887528894,ACTIVE,10,2
87,Employee 87,43,employee87@company.com,9819522501,ACTIVE,9,2
88,Employee 88,47,employee88@company.com,9893851954,INACTIVE,8,3
89,Employee 89,26,employee89@company.com,9824832132,INACTIVE,5,4
90,Employee 90,52,employee90@company.com,9840725417,ACTIVE,9,4
91,Employee 91,34,employee91@company.com,9850463806,INACTIVE,5,1
92,Employee 92,38,employee92@company.com,9811612356,ACTIVE,8,1
93,Employee 93,55,employee93@company.com,9885786538,ACTIVE,1,4
94,Employee 94,23,employee94@company.com,9840838060,ACTIVE,1,4
95,Employee 95,54,employee95@company.com,9857721302,ACTIVE,7,4
96,Employee 96,23,employee96@company.com,9880656365,ACTIVE,3,4
97,Employee 97,55,employee97@company.com,9835633525,ACTIVE,7,4
98,Employee 98,44,employee98@company.com,9883046255,INACTIVE,7,2
99,Employee 99,27,employee99@company.com,9857772380,ACTIVE,9,3
100,Employee 100,53,employee100@company.com,9860944473,ACTIVE,9,1
